    ,,,D3212,厦门北,宁波,上海,-91.5,-1.0
    ,,,D3306,厦门北,宁波,南昌,340.0,4.0
    ,,,D3337,福州南,深圳北,南昌,1237.0,16.0
    ,,,D3338,深圳北,福州南,南昌,15034.5,148.0
    ,,,D3630,广州南,南宁东,南宁,-201.0,-2.0
    ,,,D3640,广州南,南宁东,南宁,-100.5,-1.0
    ,,,D3646,广州南,南宁东,广铁集团,-502.5,-5.0
    ,,,D3710,广州南,北海,广铁集团,-24.5,-1.0
    ,,,D3714,广州南,北海,南宁,380.0,5.0
    ,,,D3762,广州南,桂林,南宁,-452.0,-2.0
    ,,,D3901,诏安,深圳北,上海,10152.5,128.0
    ,,,D4091,厦门北,深圳北,广铁集团,2342.0,42.0
    ,,,D4092,深圳北,厦门北,厦深广东,18251.5,297.0
    ,,,D4093,厦门北,深圳北,广铁集团,1767.0,24.0
    ,,,D4094,深圳北,厦门北,厦深广东,12622.5,278.0
    ,,,D6212,厦门,福州,南昌,-49.5,-1.0
    ,,,D6228,厦门,福州,南昌,11.0,2.0
    ,,,D6334,厦门,福鼎,南昌,-84.5,0.0
    ,,,D6437,龙岩,福州,南昌,25.5,1.0
    ,,,D6530,厦门北,南昌西,南昌,-374.0,-2.0
    ,,,D6582,厦门,赣州,南昌,-430.0,-2.0
    ,,,D6584,厦门,赣州,南昌,31.0,2.0
    ,,,D671,福州南,深圳北,南昌,3082.5,56.0
    ,,,D672,深圳北,福州南,南昌,1167.5,37.0
    ,,,D673,厦门,深圳北,南昌,1533.0,40.0
    ,,,D674,深圳北,厦门,南昌,4273.0,65.0
    ,,,D681,莆田,深圳北,广铁集团,3701.0,66.0
    ,,,D682,深圳北,厦门,厦深广东,7146.0,116.0
    ,,,D683,厦门,深圳北,广铁集团,5827.5,75.0
    ,,,D684,深圳北,厦门,厦深广东,7758.5,121.0
    ,,,D685,厦门,深圳北,广铁集团,1155.5,15.0
    ,,,D686,深圳北,莆田,厦深广东,3609.5,74.0
    ,,,D7401,潮汕,深圳北,厦深广东,3484.0,40.0
    ,,,D7403,潮汕,深圳北,厦深广东,3317.5,43.0
    ,,,D7405,潮汕,深圳北,厦深广东,2901.5,39.0
    ,,,D7407,潮汕,深圳北,厦深广东,8195.5,91.0
    ,,,D7409,潮汕,深圳北,厦深广东,6357.5,102.0
    ,,,D7410,深圳北,潮汕,厦深广东,-43.5,-1.0
    ,,,D7411,潮汕,深圳北,厦深广东,5247.0,66.0
    ,,,D7412,深圳北,饶平,厦深广东,3096.5,258.0
    ,,,D7413,饶平,深圳北,厦深广东,3742.0,47.0
    ,,,D7414,深圳北,潮汕,厦深广东,-89.5,-1.0
    ,,,D7415,潮汕,深圳北,厦深广东,6244.5,91.0
    ,,,D7417,潮汕,深圳北,厦深广东,4360.5,62.0
    ,,,D7418,深圳北,潮汕,厦深广东,-89.5,-1.0
